keyword,bill_number
public,SB0103
transportation,SB0103
reduced,SB0103
student,SB0103
metropolitan,SB0103
fare,SB0103
regional,SB0103
payment,SB0104
SB104,SB0104
SB0104,SB0104
prompt,SB0104
contractors,SB0104
procurement,SB0104
distrib,SB0105
fee,SB0105
SB0105,SB0105
vehicle,SB0105
cd,SB0105
SB105,SB0105
veh,SB0105
repeal,SB0105
com,SB0105
commission,SB0106
school,SB0106
schools,SB0106
SB0106,SB0106
charter,SB0106
SB106,SB0106
weapon,SB0107
crim,SB0107
SB0107,SB0107
cd,SB0107
criminal,SB0107
assault,SB0107
ban,SB0107
2012,SB0107
SB107,SB0107
tech,SB0108
SB108,SB0108
SB0108,SB0108
public,SB0108
notary,SB0108
SB0109,SB0109
care,SB0109
long-term,SB0109
electronic,SB0109
facilities,SB0109
facility,SB0109
SB109,SB0109
monitoring,SB0109
authorized,SB0109
tx,SB0110
surviving,SB0110
SB0110,SB0110
tax,SB0110
property,SB0110
spouse,SB0110
prop,SB0110
SB110,SB0110
SB111,SB0111
ins,SB0111
anesthetics,SB0111
dental,SB0111
insurance,SB0111
SB0111,SB0111
compensation,SB0112
general,SB0112
SB0112,SB0112
SB112,SB0112
assembly,SB0112
member,SB0112
ga,SB0112
,SB0113
response,SB0113
credit,SB0113
tax,SB0113
SB0113,SB0113
relief,SB0113
SB113,SB0113
disaster,SB0113
,SB0114
fund,SB0114
response,SB0114
recov,SB0114
SB114,SB0114
relief,SB0114
SB0114,SB0114
disaster,SB0114
fund,SB0115
SB0115,SB0115
expense,SB0115
finance,SB0115
SB115,SB0115
audit,SB0115
SB116,SB0116
sch,SB0116
school,SB0116
schools,SB0116
article,SB0116
cd,SB0116
charter,SB0116
SB0116,SB0116
limit,SB0116
SB117,SB0117
destruction,SB0117
records,SB0117
school,SB0117
SB0117,SB0117
student,SB0117
sch,SB0118
school,SB0118
cd,SB0118
contracts,SB0118
SB0118,SB0118
commodities,SB0118
SB118,SB0118
income,SB0119
second,SB0119
fy2020,SB0119
tax,SB0119
SB0119,SB0119
bimp,SB0119
SB119,SB0119
SB120,SB0120
rule,SB0120
SB0120,SB0120
duty,SB0120
public,SB0120
codification,SB0120
create,SB0121
fund,SB0121
mental,SB0121
use/occ,SB0121
community,SB0121
treasury,SB0121
services,SB0121
SB121,SB0121
tax,SB0121
ammunition,SB0121
finance,SB0121
SB0121,SB0121
special,SB0121
health,SB0121
SB122,SB0122
SB0122,SB0122
veteran,SB0122
procurement,SB0122
preference,SB0122
income,SB0123
SB123,SB0123
d,SB0123
inc,SB0123
credit,SB0123
tax,SB0123
SB0123,SB0123
r,SB0123
tx,SB0124
SB124,SB0124
tax,SB0124
property,SB0124
review,SB0124
SB0124,SB0124
bd,SB0124
prop,SB0124
resources,SB0124
mental,SB0125
mhdd,SB0125
SB125,SB0125
cd,SB0125
disabilities,SB0125
SB0125,SB0125
electroconvulsive,SB0125
health,SB0125
jury,SB0125
developmental,SB0125
notification,SB0126
tech,SB0126
SB0126,SB0126
electronic,SB0126
local,SB0126
SB126,SB0126
tech,SB0127
SB0127,SB0127
SB127,SB0127
tax,SB0127
property,SB0127
revenue,SB0127
lobbyist,SB0128
campaign,SB0128
funds,SB0128
SB128,SB0128
registration,SB0128
SB0128,SB0128
utilities,SB0129
SB129,SB0129
tech,SB0129
SB0129,SB0129
regulation,SB0129
public,SB0129
utilities,SB0130
icc,SB0130
SB130,SB0130
workshops,SB0130
reports,SB0130
public,SB0130
SB0130,SB0130
animal,SB0131
control,SB0131
SB131,SB0131
rabies,SB0131
vaccination,SB0131
cats,SB0131
SB0131,SB0131
feral,SB0131
SB0132,SB0132
1987,SB0132
practice,SB0132
bias,SB0132
implicit,SB0132
SB132,SB0132
nurse,SB0132
medical,SB0132
training,SB0132
SB0133,SB0133
tech,SB0133
school,SB0133
education,SB0133
SB133,SB0133
utilities,SB0134
SB0134,SB0134
tech,SB0134
SB134,SB0134
regulation,SB0134
public,SB0134
power,SB0135
icc,SB0135
SB0135,SB0135
workshops,SB0135
reports,SB0135
SB135,SB0135
agency,SB0135
SB136,SB0136
power,SB0136
tech,SB0136
agency,SB0136
SB0136,SB0136
SB137,SB0137
power,SB0137
SB0137,SB0137
tech,SB0137
agency,SB0137
pro,SB0138
procedure,SB0138
SB0138,SB0138
civil,SB0138
civ,SB0138
sale,SB0138
property,SB0138
short,SB0138
mortgage,SB0138
article,SB0138
SB138,SB0138
relation,SB0138
resale,SB0138
foreclosure,SB0138
sales,SB0138
aid,SB0139
tech,SB0139
SB0139,SB0139
SB139,SB0139
public,SB0139
senior,SB0140
citizens,SB0140
SB140,SB0140
tax,SB0140
property,SB0140
prop,SB0140
SB0140,SB0140
new,SB0141
elec,SB0141
parties,SB0141
cd,SB0141
election,SB0141
signatures,SB0141
SB141,SB0141
SB0141,SB0141
SB142,SB0142
nothing,SB0142
employee,SB0142
records,SB0142
assault/abuse,SB0142
disciplinary,SB0142
cd,SB0142
person,SB0142
assault,SB0142
"volunteer,",SB0142
SB0142,SB0142
freedom,SB0142
sch,SB0142
information,SB0142
district,SB0142
provide,SB0142
prohibits,SB0142
sexual,SB0142
disclosing,SB0142
case,SB0142
school,SB0142
abuse,SB0142
SB0143,SB0143
ethics,SB0143
tech,SB0143
officials,SB0143
SB143,SB0143
employees,SB0143
ethics,SB0144
tech,SB0144
officials,SB0144
SB144,SB0144
SB0144,SB0144
employees,SB0144
returns,SB0145
SB0145,SB0145
elec,SB0145
tax,SB0145
cd,SB0145
election,SB0145
president,SB0145
SB145,SB0145
commission,SB0146
tax,SB0146
municipal,SB0146
park,SB0146
transportation,SB0146
"code,",SB0146
water,SB0146
counties,SB0146
compliance,SB0146
mass,SB0146
finance,SB0146
local,SB0146
metro-east,SB0146
1985,SB0146
fund,SB0146
SB0146,SB0146
district,SB0146
authority,SB0146
transfer,SB0146
transit,SB0146
SB146,SB0146
"act,",SB0146
recreation,SB0146
regional,SB0146
SB0147,SB0147
performers,SB0147
account,SB0147
labor,SB0147
SB147,SB0147
trust,SB0147
child,SB0147
,SB0148
SB0148,SB0148
crime,SB0148
sentencing,SB0148
SB148,SB0148
charging,SB0148
transparency,SB0148
charge,SB0148
accountability,SB0148
gun,SB0148
firearm,SB0149
exception,SB0149
SB0149,SB0149
SB149,SB0149
firefighters,SB0149
criminal,SB0149
2012,SB0149
university,SB0150
admin,SB0150
universities,SB0150
cost,SB0150
administrative,SB0150
decrease,SB0150
SB0150,SB0150
public,SB0150
costs,SB0150
SB150,SB0150
community,SB0151
SB151,SB0151
SB0151,SB0151
universities,SB0151
governance,SB0151
colleges,SB0151
various,SB0151
contract,SB0151
higher,SB0151
employment,SB0151
acts,SB0151
relating,SB0151
ed,SB0151
public,SB0151
practice,SB0152
SB152,SB0152
SB0152,SB0152
licensure,SB0152
nurse,SB0152
compact,SB0152
chicago,SB0153
school,SB0153
elected,SB0153
SB0153,SB0153
board,SB0153
election,SB0153
SB153,SB0153
crim,SB0154
traveling,SB0154
animals,SB0154
cd,SB0154
SB154,SB0154
criminal,SB0154
SB0154,SB0154
2012,SB0154
SB155,SB0155
services,SB0155
defined,SB0155
invention,SB0155
term,SB0155
system,SB0155
early,SB0155
SB0155,SB0155
intervention,SB0155
job,SB0156
innovation,SB0156
access,SB0156
corrections,SB0156
SB156,SB0156
websites,SB0156
department,SB0156
prisoner,SB0156
unified,SB0156
technology,SB0156
SB0156,SB0156
military,SB0157
firearm,SB0157
SB157,SB0157
firearms,SB0157
carry,SB0157
SB0157,SB0157
non,SB0157
concealed,SB0157
resident,SB0157
tx,SB0158
SB0158,SB0158
tax,SB0158
property,SB0158
error,SB0158
SB158,SB0158
prop,SB0158
sales,SB0158
SB159,SB0159
SB0159,SB0159
vehicle,SB0159
cd,SB0159
veh,SB0159
transportation,SB0159
student,SB0159
firearm,SB0160
sch,SB0160
school,SB0160
cd,SB0160
SB0160,SB0160
SB160,SB0160
safety,SB0160
course,SB0160
general,SB0161
attorney,SB0161
worker,SB0161
SB0161,SB0161
atty,SB0161
unit,SB0161
protect,SB0161
SB161,SB0161
gen,SB0161
SB162,SB0162
counties,SB0162
aid,SB0162
health,SB0162
municipal,SB0162
maintenance,SB0162
mammogram,SB0162
"act,",SB0162
insurance,SB0162
SB0162,SB0162
public,SB0162
diagnostic,SB0162
organization,SB0162
"code,",SB0162
wage,SB0163
anti,SB0163
theft,SB0163
contract,SB0163
SB163,SB0163
SB0163,SB0163
procurement,SB0163
SB164,SB0164
school,SB0164
downstate,SB0164
article,SB0164
pens,SB0164
cd,SB0164
pension,SB0164
trs,SB0164
teacher,SB0164
SB0164,SB0164
private,SB0164
fraud,SB0165
tech,SB0165
business,SB0165
practices,SB0165
SB165,SB0165
deceptive,SB0165
SB0165,SB0165
consumer,SB0165
chicago,SB0166
tech,SB0166
school,SB0166
district,SB0166
education,SB0166
article,SB0166
SB166,SB0166
SB0166,SB0166
SB0167,SB0167
practice,SB0167
service,SB0167
SB167,SB0167
dental,SB0167
convey,SB0168
conveyance,SB0168
southern,SB0168
county,SB0168
quitclaim,SB0168
university,SB0168
deed,SB0168
described,SB0168
"university,",SB0168
property,SB0168
board,SB0168
directs,SB0168
"carbondale,",SB0168
siu,SB0168
carterville,SB0168
SB0168,SB0168
williamson,SB0168
behalf,SB0168
trustees,SB0168
SB168,SB0168
pro,SB0169
procedure,SB0169
civil,SB0169
notice,SB0169
civ,SB0169
SB169,SB0169
foreclosure,SB0169
SB0169,SB0169
SB0170,SB0170
cities,SB0170
finance,SB0170
financially,SB0170
SB170,SB0170
distressed,SB0170
fund,SB0171
response,SB0171
environmental,SB0171
SB171,SB0171
trust,SB0171
SB0171,SB0171
drycleaner,SB0171
SB172,SB0172
university,SB0172
il,SB0172
trustee,SB0172
SB0172,SB0172
student,SB0172
univ,SB0172
trustees,SB0172
firearm,SB0173
general,SB0173
SB0173,SB0173
assembly,SB0173
bill,SB0173
operations,SB0173
SB173,SB0173
care,SB0174
SB0174,SB0174
membership,SB0174
in-office,SB0174
SB174,SB0174
office,SB0174
water,SB0175
SB175,SB0175
cty,SB0175
infrastructure,SB0175
cook,SB0175
finance,SB0175
SB0175,SB0175
SB176,SB0176
SB0176,SB0176
sports,SB0176
wagering,SB0176
motor,SB0177
business,SB0177
tax,SB0177
SB177,SB0177
various,SB0177
fuel,SB0177
SB0177,SB0177
enterprise,SB0177
general,SB0178
bond,SB0178
SB0178,SB0178
bonds,SB0178
obligation,SB0178
pension,SB0178
SB178,SB0178
SB0179,SB0179
capital,SB0179
board,SB0179
makes,SB0179
development,SB0179
SB179,SB0179
appropriations,SB0179
SB180,SB0180
ethics,SB0180
SB0180,SB0180
lobbying,SB0180
member,SB0180
governmental,SB0180
pro,SB0181
summons,SB0181
procedure,SB0181
civil,SB0181
civ,SB0181
SB181,SB0181
SB0181,SB0181
citations,SB0181
SB182,SB0182
civil,SB0182
SB0182,SB0182
health,SB0182
powers,SB0182
duties,SB0182
department,SB0182
administrative,SB0182
directives,SB0182
public,SB0182
estates,SB0182
tech,SB0183
SB183,SB0183
SB0183,SB0183
abortion,SB0183
criminal,SB0183
1975,SB0183
tech,SB0184
SB184,SB0184
SB0184,SB0184
abortion,SB0184
criminal,SB0184
1975,SB0184
grant,SB0185
sch,SB0185
school,SB0185
cd,SB0185
SB185,SB0185
SB0185,SB0185
programs,SB0185
roe,SB0185
tx,SB0186
income,SB0186
inc,SB0186
SB186,SB0186
tax,SB0186
SB0186,SB0186
soundproofing,SB0186
alzheimer's,SB0187
SB0187,SB0187
aging,SB0187
SB187,SB0187
disease,SB0187
SB188,SB0188
sch,SB0188
school,SB0188
chi,SB0188
cd,SB0188
SB0188,SB0188
charter,SB0188
statement,SB0189
"law,",SB0189
budget,SB0189
tax,SB0189
municipal,SB0189
service,SB0189
"code,",SB0189
innovation,SB0189
economy,SB0189
SB0189,SB0189
muni,SB0189
cd,SB0189
facility,SB0189
development,SB0189
local,SB0189
financial,SB0189
SB189,SB0189
property,SB0189
publication,SB0189
electronic,SB0189
"act,",SB0189
medical,SB0189
SB190,SB0190
lists,SB0190
cd,SB0190
SB0190,SB0190
eligibility,SB0190
personnel,SB0190
mental,SB0191
ct,SB0191
family,SB0191
juv,SB0191
program,SB0191
disabilities,SB0191
SB0191,SB0191
administrative,SB0191
SB191,SB0191
support,SB0191
health,SB0191
developmental,SB0191
temp,SB0192
1987,SB0192
ct,SB0192
court,SB0192
SB192,SB0192
SB0192,SB0192
custody,SB0192
juvenile,SB0192
juv,SB0192
1987,SB0193
ct,SB0193
wardship,SB0193
court,SB0193
SB193,SB0193
SB0193,SB0193
duration,SB0193
juvenile,SB0193
juv,SB0193
fire,SB0194
date,SB0194
pencd,SB0194
hire,SB0194
imrf,SB0194
downstate,SB0194
article,SB0194
pension,SB0194
SB194,SB0194
SB0194,SB0194
firefighter,SB0194
dnst,SB0194
independent,SB0195
ins,SB0195
SB0195,SB0195
insurance,SB0195
SB195,SB0195
escrowee,SB0195
title,SB0195
exceptions,SB0196
SB196,SB0196
open,SB0196
meetings,SB0196
SB0196,SB0196
SB0197,SB0197
sch,SB0197
school,SB0197
schools,SB0197
cd,SB0197
SB197,SB0197
charter,SB0197
motor,SB0198
SB0198,SB0198
tax,SB0198
SB198,SB0198
cd,SB0198
highway,SB0198
fuel,SB0198
hghwy,SB0198
SB0199,SB0199
controlled,SB0199
fentanyl,SB0199
SB199,SB0199
substances,SB0199
crim,SB0200
elderly,SB0200
identification,SB0200
cd,SB0200
SB200,SB0200
exploitation,SB0200
SB0200,SB0200
criminal,SB0200
lead,SB0201
wildlife,SB0201
ammunition,SB0201
SB0201,SB0201
SB201,SB0201
ct,SB0202
court,SB0202
commitment,SB0202
21,SB0202
until,SB0202
SB0202,SB0202
juvenile,SB0202
juv,SB0202
SB202,SB0202
SB203,SB0203
subsidies,SB0203
SB0203,SB0203
interstate,SB0203
specific,SB0203
company-specific,SB0203
compact,SB0203
company,SB0203
subsidy,SB0203
acupuncture,SB0204
practice,SB0204
tech,SB0204
SB0204,SB0204
regulation,SB0204
SB204,SB0204
mwrd,SB0205
water,SB0205
SB0205,SB0205
SB205,SB0205
notes,SB0205
district,SB0205
time,SB0205
reclamation,SB0205
issue,SB0205
metropolitan,SB0205
chicago,SB0206
SB206,SB0206
board,SB0206
election,SB0206
col,SB0206
elect,SB0206
SB0206,SB0206
com,SB0206
water,SB0207
tech,SB0207
district,SB0207
reclamation,SB0207
SB0207,SB0207
local,SB0207
SB207,SB0207
metropolitan,SB0207
conservation,SB0208
general,SB0208
sers,SB0208
pencd,SB0208
pension,SB0208
SB208,SB0208
SB0208,SB0208
provisions,SB0208
employees,SB0208
police,SB0208
articles,SB0208
special,SB0209
SB0209,SB0209
sch,SB0209
school,SB0209
agreements,SB0209
cd,SB0209
SB209,SB0209
